Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,,
2020-11-28 00:00:00+00:00,17717.4140625,17717.4140625,17853.939453125,16910.65234375,17112.93359375,32601040734
2020-11-29 00:00:00+00:00,18177.484375,18177.484375,18283.62890625,17559.1171875,17719.634765625,31133957704
2020-11-30 00:00:00+00:00,19625.8359375,19625.8359375,19749.263671875,18178.322265625,18178.322265625,47728480399
2020-12-01 00:00:00+00:00,18802.998046875,18802.998046875,19845.974609375,18321.921875,19633.76953125,49633658712
2020-12-02 00:00:00+00:00,19201.091796875,19201.091796875,19308.330078125,18347.71875,18801.744140625,37387697139
2020-12-03 00:00:00+00:00,19445.3984375,19445.3984375,19566.19140625,18925.78515625,19205.92578125,31930317405
2020-12-04 00:00:00+00:00,18699.765625,18699.765625,19511.404296875,18697.193359375,19446.966796875,33872388058
2020-12-05 00:00:00+00:00,19154.23046875,19154.23046875,19160.44921875,18590.193359375,18698.384765625,27242455064
2020-12-06 00:00:00+00:00,19345.12109375,19345.12109375,19390.5,18897.89453125,19154.1796875,25293775714
2020-12-07 00:00:00+00:00,19191.630859375,19191.630859375,19411.828125,18931.142578125,19343.12890625,26896357742
2020-12-08 00:00:00+00:00,18321.14453125,18321.14453125,19283.478515625,18269.9453125,19191.529296875,31692288756
2020-12-09 00:00:00+00:00,18553.916015625,18553.916015625,18626.29296875,17935.546875,18320.884765625,34420373071
2020-12-10 00:00:00+00:00,18264.9921875,18264.9921875,18553.298828125,17957.064453125,18553.298828125,25547132265
2020-12-11 00:00:00+00:00,18058.904296875,18058.904296875,18268.453125,17619.533203125,18263.9296875,27919640985
2020-12-12 00:00:00+00:00,18803.65625,18803.65625,18919.55078125,18046.041015625,18051.3203125,21752580802
2020-12-13 00:00:00+00:00,19142.3828125,19142.3828125,19381.53515625,18734.33203125,18806.765625,25450468637
2020-12-14 00:00:00+00:00,19246.64453125,19246.64453125,19305.099609375,19012.708984375,19144.4921875,22473997681
2020-12-15 00:00:00+00:00,19417.076171875,19417.076171875,19525.0078125,19079.841796875,19246.919921875,26741982541
2020-12-16 00:00:00+00:00,21310.59765625,21310.59765625,21458.908203125,19298.31640625,19418.818359375,44409011479
2020-12-17 00:00:00+00:00,22805.162109375,22805.162109375,23642.66015625,21234.67578125,21308.3515625,71378606374
